id,text,label
118,@Cara if you have the time and dont want to pay the extra you can scan your all books into caliber (an open format program) and convert them into mobi files. Is really better to just repurchase (since it is faster) but for short stuFf and college papers.  I love scanning them and converting the file.  You must scanned in as a PDF the use caliber for the conversion.,positive
119,One of the BEST gifts I have ever received.,positive
120,"I love my little Kindle,My electronic book. Id rather have a KindleThan a S*ny or a N**k",positive
121,not to many Men ?????????,neutral
122,I just ordered a waterproof cover! Yay!,neutral
123,"Got a kindle for my birthday from my wife and have read so much since. Great for waiting rooms at doctors offices, snatches of time just about anywhere. Very handy device. I Finally have something to look forward to at the beach this summer.",positive
124,"Anyone know what ""EVERY WORD"" is..and is it free?",neutral
125,I downloaded some awesome freebooks today,positive
126,"Received mine for Christmas.. I have rediscovered reading.. Thank you Kindle, thank you Amazon. ",positive
127,"@Robert Walker, I just purchased your book and put the rest of the series on my wish list.  Love a good mystery!  Thanks.",positive
128,"If prices dont go back down, the love affair is OVER.",positive
129,Thank you!!!,positive
130,Best thing ever invented,positive
131,"Rose, I downloaded Every Word onto my Kindle. It was free then, about 6 months ago. It is a fun wordgame, if you like word games. It gives you 6-7 letters per level and you try to make as many words as you can. They place the words that you have come up with in alphabetical order so you can see what you might be missing.  I like it.",positive
132,How about lending or access to the local library?,neutral
133,How about lending or access to the local library?,neutral
134,My favorite thing about my Kindle is that I can play Scrabble to my hearts content!,positive
135,Your funny Joyce!,positive
136,Ok Robert Walker send your book!,neutral
137,Why can I not get Water for Elephants on my Kindle in Canada?????,neutral
138,It is my strange addiction!  I cant put it down.,negative
139,I love my kindle.  I take it with me so many places.  The best is having it with while shopping with my wife! So handy.,positive
140,"I read and read and read because of my Amazon Kindle, love love love it.",positive
141,Thank you robert walker,positive
142,"I should have signed Phyllis, the Kindle was a gift to Peter from our daughters for his birthday in Oct. I read the first book and havent stopped since. My husband said my wife perfers to go to bed with her Kindle instead of me he he. Phyllis",neutral
143,"Me too, me too! I LOVE mine, wouldnt want to read without it!",positive
144,I just bought that book and 2 more of your books,neutral
145,"Love mine so much I just bought another one for my husband so that I can have my own all to myself.  I use it for many, many things other than e-book reading, although it excels at that.",positive
146,"I love my Kindle, and its not even one of the new ones!  Just love to read anything anywhere...",positive
147,"Love my Kindle, and am enjoying reading Alice in Wonderland with my Granddaughters",positive
148,I know what took it so long?,neutral
149,Me too!,neutral
150,Me too!,neutral
151,I treasure my kindle it has brought me so much joy. The best thing ever..........,positive
152,"Library access, please and thank you!",positive
153,Love love love my kindle! It has made reading psych articles for dissertation much more convenient. I have also rediscovered that I like reading books for pleasure - who knew?,positive
154,I do know how to do that!,neutral
155,Andy Angel I love your little jingle!,positive
156,"RoseI am so addicted to ""every word""! Love it!  It was free when I downloaded it!",positive
157,Me and my Kindle strolling down the avenue =o),neutral
158,"song????  Only slightly plagarized.....Kindle, I think I love you, so what was I so afraid of, you only want to make me happy, so if you say, hey, go away I will, but I think better still I better stay around and love you.  do you think I have a case?  let me ask you to your face?  do you think you love me?  I THINK I LOVE YOU!",positive
159,"I was having a problem with my Kindle, where it kept freezing up on me. I mean every time I went to read, I had to defreeze it. I was starting to get worried - was I going to have to deal with this or did I have a defected Kindle. So I finally called for help again - I wanted to enjoy my reading time. I explained my problem, and sure enough, there was a problem - it was the type of cover I purchased, I guess it messes it up somehow. So they kindly refunded my purchase and I bought a different one and it was the best fix ever. I no longer have any problems - I truly love my Kindle.",positive
160,"My kindle was a late Christmas gift to myself. I truly believe is the greatest invention since peanut butter. Not overly complicated or overly pretentious. Sexy in its simplicity, elegant in its usefulness. I love my kindle",positive
161,My kindle froze and when I rebooted everything in my archives was gone. Is that a problem from that last update? :(,negative
162,I LOVE my Kindle!! Easy to read and take anywhere!! I have read some really great books lately! Right now reading Kelly Cutrones book! Love it!!,positive
163,Love love my Kindle !!! Never never leave home without it. ,positive
164,I like my kindle!!!!,positive
165,I <3 my Kindle! Thank u Santa!,positive
166,"I bought myself a kindle for Christmas . I bought 2 books, the other are free ones  and I have 41 books .   Love it",positive
167,"I love my kindle, the ability to change fonts, look up words in the dictionary, make notes and did I mention my favorite, text to speech for my 1 hour commute.  I dont have to put my book down, I just let it read to me.  I LOVE IT!!!!!",positive
168,"My Kindle is GREAT at the gym. Set the treadmill for one hour, turn on my Kindle and before I know it, times up! Its the best!",positive
169,My Kindle was a Christmas gift from my daughters and their husbands. I LOVE it!!! I take it everywhere. Its so much easier to always have with me than a book. I have arthritis in my hands and the Kindle does not hurt them when I hold it. I can lay it down to read and the pages dont flop open:) Im reading a greater variety of books and enjoy the Word Search game. Plan to get Scrabble soon. Its one of the best gifts Ive received!! I really appreciate the updates and instructions posted on fb.,positive
170,Love my Kindle!! One of the best gifts Ive received!!!!!,positive
171,I love my Kindle. Thank you Stephanie. BEST gift ever!!,positive
172,I never could have anticipated how much I would love my Kindle!,positive
173,@Kathy..ty for the response..Ill look into it:),neutral
174,"I love my Kindle so much, I snuggle with it every night.",positive
175,I have the 2nd generation but am thinking of getting the new one. Thoughts???,neutral
176,"kindle in the waiting room at the docs office,kindle in the waiting room at the pharmacy, surrounded by nooks and kindles in waiting rooms these days. soooo convenient",positive
177,Im gonna gag. ,neutral
178,"Id like to teach the world to read, the perfect work of words, and ..., ..., ..., .....",positive
179,"After buying our first Kindle about a year ago, we now have three in the family. Definitely the way to go for those who enjoy reading. Save the forests, buy a Kindle!",positive
180,I love my Kindle! Thanks Julie for giving it to me! My best ever gift!!!I love the free books that are available and I love the recommendations based on your book purchases! I take  my Kindle everywhere and I especially love it for traveling and holidays! Give a Kindle to someone you love or encourage a child to read more by giving them a Kindle! It will get them excited about reading!,positive
181,l would so like to share the books ive purchased with my friends....,positive
182,How do you download and play games on Kindle? I didnt know you could do this!,neutral
183,can someone tell me.when you use the web...is it in color like the nook??,positive
184,louise - you buy them from the amazon store. Theyre currently only available in the us which leaves the rest of the world waiting,neutral
185,No,neutral
186,How do we lobby for cheaper ebooks? Saw new book advertised yesterday at train station for £3.49 in a shop and went to Kindle store and it was £9.99! Quite a difference......,positive
187,I order this week and am SO excited. Spent weeks picking out my cover choices etc.,positive
188,Well thats not fair! Come on Amazon - the rest of the world wants to play games too!,positive
189,:) I did write a song :) I love my kindle! Lol,positive
190,"My wife got me the Kindle dx for Valentines since I read a lot..I just love it, where ever I go it goes with me.I warp into another world as I start reading..n Kindle really doesnt get in the way!! Totally floored..:)",positive
191,One of our local schools in the County is looking into using Kindles in the classroom for every student! WOW! They say it would be cheaper than expensive Textbooks and could save money!,positive
192,"I carry my Kindly in my purse next to my cell phone.  Would not be without it.  It is the best gadget I ever owned (second to it is my Keurig coffee maker).  K and K, Kindle and coffee, what could be better.",positive
193,"Lets all try to persuade Kindle to allow us to download snooks from our local Libraries.   Your Library may not provide this facility now but it will, I believe, very soon.   Be prepared.   Meanwhile check out the Overdrive Media Console app.   With this you can access your Library and download snooks and audio books to your iPod touch/pad/phone etc.   I still prefer my Kindle so come on Kindle, be good to us!",positive
194,ebooks not snooks.,neutral
195,And then you could download it to your Kindle and listen to it!,neutral
196,I would love to love a Kindle but it needs to be library ebook friendly first :(,negative
197,"I like my Kindle but miss having a backlight so I can read in the dark. Also, I use my eyes all day at a computer so lately Ive been doing a lot more audio books on my smartphone.",negative
198,I love my Kindle. I have the K2 but thinking about upgrading to the new model. .,positive
199,"I love it because the Kindle has made it easy for me to always have a book to read, and has allowed me to self-publish too!",positive
200,My kindles screen has disappeared actually only the top half. I miss it dearly> (,negative
201,It happened right after the update>,neutral
202,Love my kindle! Big entertainment in a little package!!! Thanks!<3,positive
203,Read on my kindle. Thats what I do.,neutral
204,"I love my kindle.  Being full time RVers its a must, its the only way to travel and read without having books everywhere.  Anyone who travel in a motorhome knows there isnt  a whole lot of room for books.  My kindle is the best.",positive
205,I love my Kindle but hope one day soon I can upgrade to a color version so I can download magazines in all their glory.  I also love all the games (some free and some very reasonably priced) that I can play when I am not reading.  I still buy a few paper books but the Kindle is so much easier to read in bed.,positive
206,Best thing since slice bread!!! LOL,positive
207,♫ I love my Kindle...my only Kindle...it makes me happy... when skies are grey...I read more often... now that I have it...please dont take my Kindle away!... TaDa!,positive
208,Wherever I go my Kindle goes with mne..Im so happy my daughter introduced me to it.,positive
209,"I LOVE my Kindle! Were a family of 6 who are worldschooling and travelling slowly around the world since Oct10.  The BEST investment for our travel lifestyle, and an essential travel gear! We have our travel guide books, homeschooling books, and novels with us in our Kindle. We use it more than twice a day. The only negative thing weve experienced is that we all have to wait to take our turn reading the Kindle....Well need to pick up another one this fall.",positive
210,There are a lot of things in this world I could live without.  My Kindle doesnt happen to be one of them!,neutral
211,Kindle video poker - excellent! Its cutting in to my reading time:),positive
212,I love my Kindle! I wouldnt exchange it for anything in this world!,positive
213,I love my Kindle! I not only read more but I also love the word search books for the Kindle.  I would never purchase another e-reader.,positive
214,I so agree.  I just love my Kindle,positive
215,Amazon should step up to the plate and do an update so public library books can be (borrowed) downloaded to the kindle. It would be nice to be able to get books from Nassau County Librays,positive
216,I just read Madam Tussaud by Michelle Moran. Historical Fiction gebre. Excellent read!,positive
217,I like the free stuff. Post more of that.,positive
218,Love it because I can increase the font size and read while I am walking on the treadmill!,positive
219,"I finally read ""A Tale of Two Cities; what a great read!",positive
220,http://www.amazon.com/Sunny-Rain-ebook/dp/B003ES5NYS/ref=sr_1_2?ie=UTF8&m=AG56TWVU5XWC2&s=books&qid=1295910892&sr=1-2,neutral
221,What happened to the authors names in the lists?  Not very useful to try to read the authors name from the thumbnail book cover.,positive
222,Thanks for posting the lists. Read-a-palooza for me! Im getting some of them NOW =),neutral
223,"Love my Kindle, and dont even need my glasses on when I am reading..lol",positive
224,Reading Medical Error.....more than half way through it and its great...and its FREE,positive
225,"Got my Kindle for Xmas and Ive read 12 bks already, mostly from the top 100 free list, love it. Just finished reading Stuck in the Middle, great read!",positive
226,Love the free classics and open source textbooks!,positive
227,Amazon Kindle supplies right here:http://www.babcockpublishing.com/ezbuy/index.htm#Kindle,neutral
228,99 cents gets you medical examiner novel FLOATERS....2.99 gets you historical thriller CHILDREN of SALEM....3.99 gets you TITANIC 2012 - Curse of RMS Titanic (historical & Science Fic. in one),negative
229,I love the free classics.  I forgot how good Treasure Island and White Fang were,positive
230,"Just received a new Kindle but I dont have wifi internet,and I still cant get the brand new router I bought to work. I have 1 little book on my Kindle that I downloaded,and that took me 30 minutes to try to get load into the Kindle. I would love to enjoy my Kindle as much as everyone else is,but it has not been as effortless for me as for them :(",positive
231,"I Love my Kindle. I like trying out the Free Books,  BUT, your Free Books selections are POOR!  And the Free Book Section is Not Updated Hourly!  I paid for my Kindle, So I do wish that the price of the Kindle books were reduced for Kindle owners!!!Kindle, How about a response to this.",positive
232,"How about reduced prices on kindle books , for Kindle Owners, say once a month!",neutral
233,@Linda there are other venues to find great free books if you look.,positive
234,Love the Kindle best gift ever. Take it everywhere with me.  Love the free books also,positive
235,"I just got an iPhone4, and im loving the Kindle Store app and the alerts here....so convenient!",positive
236,Best gift I ever gave myself! ; ),positive
237,"I have found a lot of good free Kindle books.  You have to check regularly; as some are only free for a very limited time, then back to regular price.  One thing I dont like is that Ive noticed that lately the Kindle purchase price is MORE EXPENSIVE than the actual book!  In that case, I will buy the real book.  Duh?",positive
238,"Leslie, download to your computer then connect the kindle via usb and copy the book from the computer into the documents folder on your kindle. Thats what I had to do out here in the boonies! Works great and you have an extra backup on your computer.",positive
239,"Perfect timing for this post, got a lot of snow coming and the power is sure to go out so I picked up 2 more books off the list....thanks",positive
240,@Annette.  I agree.  It really makes me angry when the Kindle book is more than the actual book.  I refuse to buy either.  That is the ONLY problem that I have with Amazon.  It is something they should adjust immediately.,negative
241,Too bad I cant open this link on my Kindle.,negative
242,LOVE  LOVE LOVE my Kindle and the free books are great. Have never enjoyed reading so much.,positive
243,"I agree w/ Annette... I love my Kindle, am willing to pay for certain books but pretty bummed that often the Kindle edition is more expensive than the actual book! This doesnt make much sense & disappoints every time I notice it. Otherwise yes there are great resources for free books...",positive
244,And my book: ALOHA RAINBOW.,neutral
245,Try The Hangmans Daughter !,neutral
246,"Amazon does not control the price the publisher does and they need to make a certain amount per unit because contractually, everyone involved was promised a certain percentage per unit. Libraries still exist so if you dont like the price, go check it out for free. Also many librarys have free downloads to borrow on their websites.",positive
247,Love love love my Kindle!!!!!!!!!,positive
248,"Still reading ""Anna Karenina""...long,but good.",positive
249,"I do buy my fair share of paid Kindle books, but itd be nice if the Android and iPod Touch Kindle apps would let us browse the top FREE books from within the apps themselves.  Hope this is a coming upgrade.",positive
250,I love my kindle and the free books are fantastic. Some I read as a teenager... and it is great to reread them as a mature adult. Especially when they are free!,positive
251,Found some good freebies today... gotta love it... and love the Kindle!,positive
252,Thanks for posting this! I found me 5 freebies!!!!,neutral
253,"Just be careful if youre shopping in the ""free"" list.  Amazon has been slipping ""paid"" books in there (hoping youll get caught up in the shopping and ""accidently"" buy one you have to pay for?)  Still LOVE my Kindle!",positive
254,Yay! Free books!  I got 8 of em!  Woo hoo!,positive
255,Wow! Just downloaded 10 free books. Sweet!,positive
256,checked it out last night - downloaded at least a dozen more titles!,neutral
257,Thanks for the link to free books!,positive
258,"I love this option!  Using it is how I have found all of my books, so far!",positive
259,Me and my two young daughters all received kindles at Christmas! They read with them constantly!!! I so wish I could afford to buy each child in their 2nd & 4th grade class one!! It would also be an awesome fund raiser to raise money to purchase these for retirement homes!! I loved reading as a child and the kindle is an awesome way to spark kids interest in reading!,positive
260,"Alladin, duh",neutral
261,Love this feature!!!!!!,positive
262,"Love the kindle and it makes you want to read all the time:-) Also, if someone doesnt have wifi at home, go to local hotspot (every town has a coffee shop) and download a bunch of books at once. Or just go anywhere with wifi and start downloading..",positive
263,I love free books!,positive
264,Love the free books.  Im reading new authors whos books I have never read before!  I love my kindle!!,positive
265,I accidentally downloaded a book that was in the free section but wasnt free. I called and it was removed immediately.  They were very apologetic and Im sure it was an oversight. I love my Kindle. ,positive
266,Got 7 - luv free books!,positive
267,could not get the new download to download....,neutral
268,"Most public libraries lend e-books; however, the libraries format is NOT compatible with the Amazon Kindle.  Big bummer!",neutral
269,I know this is off topic but I cant say enough about the qualtity and helpfullness of Kindle support.,positive
270,"I read at least 3 books a week so the free books are wonderful.  If iI find it boring after a chapter or two, I delete it and get another.  Since it was free I dont feel bad about deleting.",neutral
271,I absolutely LOVE my Kindle,positive
272,"KINDLE KEEPS ROCKING, I KEEP READING.",neutral
273,"Is there a buy back program for people to up-grade?  I was hoping to pick up a ""gently used"" kindle for my teenager.  She is starting to think reading is fun while reading Shakespeare and I want my kindle back!  ",positive
274,I love the kindle.. I dont know why I was fighting against getting one for so long.  My husband got it for me with the wifi and 3g so I can download more when I want.  I Love the free books.  I have downloaded roughly 90 books and only paid $7.00 total so far on books that were must haves.  I like having a variety so that if I am not that interested in a book I can choose another without going to the site.   I can always try that book again later.  This is fun.  I am reading again for the first time in a long long long time.  Thank you Kindle for finding a way that I can enjoy books now.  This coming from someone who never enjoyed any reading at all due to a mild case of dyslexia.,positive
275,"This is going to be dangerous to my credit card, isnt it?",negative
276,"@ Leslie Cyr - Leslie have you tried downloading via your USB cable? You should be able to do that. Right, Kindle Users?!  Shouldnt she be able to download via the USB whether she has WiFi or not? Book to>>computer>>Kindle.  Help a fellow Kindle user out! :)",positive
277,Love my Kindle.  I have bought a lot of books and also downloaded quite a few free books.  My daughter has a Kindle and we did the lending a book option.  Not all your books on Kindle are lendable so you need the check.  Everyone keep reading.,positive
278,"Yep, its totally doable to download books to your computer than transfer to the Kindle via the USB cable.  People without wireless coverage have been doing it all along.  Directions are in the Kindle Users Guide.Also, folks who think Kindle book prices should be lower should talk to the publishers - theyre the ones who set the prices, especially the higher ones (youll note that on many books its noted that ""This price was set by the publisher"").",neutral
279,Thnx for this post I just downloaded 12 new books for free! I love my Kindle my best travel companion :)),positive
280,I love the old Classics (especially the FREE download).  Just finished reading The Count of Monte Cristo and now into Uncle Toms Cabin.  Hooray for Kindle!,positive
281,"Love my kindle, my children got me this for my birthday last year.",positive
282,"My hubby got me a kindle and I love it!!.  I can read books, magazines, etc..If you love to read this is definately something you should look into.",positive
283,Thanks.  Just downloaded 23 books.  That will keep me busy for a while.  LOL,positive
284,I love kindle and love Nook color and bw nook. I enjoy 3 of them.,positive
285,"In order for this to be really useful to me, you need to give me a way to sort for similar tastes, like Netflix does, for instance.  Popular does not impress me.",positive
286,i am reading aesop fables,neutral
287,"@ Leslie, try going to a Starbucks or Panera Bread where wifi is free. Go to menu button and make sure wifi is turned on. Now go to shop kindle book store or NY times best sellers and start enjoying your kindle like the rest of us. Also you can type in your own selection. Hope this helps. Good Luck",positive
288,After less than a year we are addicted to our Kindles.  We each have one so we sometimes trade.  We have read 87 books since we started.  We  dont have TV in our bedroom and go to bed at 9:00 and read til 11:00.  It is so easy to hold and easy to order new books and read immediately.  Easy to transport. Wonderful!,positive
289,Thank you!,positive
290,"Nice work Phyllis, you beat the absolute clown who posts spam on every Facebook page!",positive
291,Sent!,neutral
292,"Now, if we could just have collections inside of collections, I would be ecstatic!",neutral
293,I love this collection feature. I use it and really does help me find things quickly.,positive
294,Do you know how to put an item back into archives and get it off the Droid?  I cant find this info anywhere.  :(,negative
295,Now thats a great tip! Ive picked some books that were bloody awful which I was hoping to never catch sight of again!,negative
296,Thank you. I wondered about this but was too lazy to research the answer!,neutral
297,"To read epub books for nook etc just download calibre free ebook management program online to your PC which will convert them to mobi or tzw for kindle. ..(Blaine Z. Author of ""The Gaines Agenda"" and ""Weight Loss on your Nook or Kindle "" available on nook.com",neutral
298,THANK YOU! Finally.,positive
299,THANK YOU   I have been wondering how to do this!,positive
300,"omg, im 12,and i flippin adore my kindle!!!<3 <3 <3 <3",positive
301,"I use this feature, have a collection of classics I read with my homeschool students, and one for different genres just for myself.  Keeps me down to 2 pages rather than 18 or so.",neutral
302,I am glad to finally know how to do this!,positive
303,"Thanks for that tip, I knew there HAD to be a way to do it but I was at a loss as to how.",negative
304,I have moved things to a collection but they still show as individual items too.  Am I missing something?  I would like to house my stuff in collections not both.,positive
305,@Ginger KL: that would be GREAT :D,positive
306,"Melodie - how are you moving them? Do you use the 5-way thing to hilite ""add to collection"" and then choose the collection? Thats the way I do it and the book always disappears from home and only appears in the collection.",neutral
307,Anyone know how to remove a free sample permanently?  Lets just say Im glad I got the sample.,positive
308,I have the same issue as Melodie...,negative
